episode,reward
1,365.0
2,745.0
3,720.0
4,585.0
5,985.0
6,640.0
7,380.0
8,695.0
9,670.0
10,585.0
11,645.0
12,530.0
13,680.0
14,1055.0
15,500.0
16,590.0
17,560.0
18,1250.0
19,445.0
20,595.0
21,615.0
22,555.0
23,760.0
24,600.0
25,1455.0
26,705.0
27,470.0
28,910.0
29,1380.0
30,835.0
31,895.0
32,840.0
33,605.0
34,890.0
35,480.0
36,725.0
37,1090.0
38,440.0
39,440.0
40,490.0
41,570.0
42,740.0
43,340.0
44,620.0
45,300.0
46,990.0
47,805.0
48,585.0
49,475.0
50,575.0
51,1190.0
52,505.0
53,1070.0
54,1010.0
55,435.0
56,570.0
57,440.0
58,805.0
59,860.0
60,470.0
61,1195.0
62,695.0
63,1345.0
64,1255.0
65,400.0
66,675.0
67,985.0
68,875.0
69,545.0
70,560.0
71,1340.0
72,1185.0
73,735.0
74,930.0
75,795.0
76,510.0
77,445.0
78,520.0
79,655.0
80,770.0
81,575.0
82,605.0
83,485.0
84,910.0
85,1285.0
86,535.0
87,545.0
88,745.0
89,955.0
90,560.0
91,870.0
92,1115.0
93,1014.9999999999999
94,710.0
95,585.0
96,730.0
97,570.0
98,715.0
99,600.0
100,710.0
101,640.0
102,690.0
103,730.0
104,725.0
105,760.0
106,1025.0
107,525.0
108,485.0
109,1190.0
110,1270.0
111,580.0
112,940.0
113,890.0
114,710.0
115,495.0
116,700.0
117,785.0
118,700.0
119,890.0
120,1200.0
121,680.0
122,600.0
123,535.0
124,820.0
125,725.0
126,700.0
127,480.0
128,815.0
129,555.0
130,980.0
131,690.0
132,705.0
133,590.0
134,395.0
135,605.0
136,1050.0
137,1150.0
138,950.0
139,1135.0
140,615.0
141,445.0
142,625.0
143,1455.0
144,1014.9999999999999
145,335.0
146,855.0
147,490.0
148,970.0
149,525.0
150,430.0
151,765.0
152,385.0
153,1110.0
154,1140.0
155,410.0
156,595.0
157,595.0
158,565.0
159,485.0
160,1075.0
161,445.0
162,870.0
163,665.0
164,720.0
165,1185.0
166,1190.0
167,1205.0
168,1135.0
169,565.0
170,605.0
171,480.0
172,880.0
173,805.0
174,535.0
175,675.0
176,470.0
177,745.0
178,530.0
179,635.0
180,735.0
181,1025.0
182,655.0
183,510.0
184,630.0
185,905.0
186,525.0
187,670.0
188,630.0
189,1035.0
190,760.0
191,850.0
192,780.0
193,675.0
194,535.0
195,555.0
196,845.0
197,595.0
