episode,reward
1,535.0
2,505.0
3,1090.0
4,815.0
5,830.0
6,805.0
7,570.0
8,1035.0
9,580.0
10,510.0
11,545.0
12,750.0
13,400.0
14,820.0
15,365.0
16,680.0
17,570.0
18,345.0
19,525.0
20,645.0
21,1175.0
22,375.0
23,960.0
24,975.0
25,910.0
26,835.0
27,1275.0
28,680.0
29,1004.9999999999999
30,1135.0
31,1330.0
32,230.0
33,1360.0
34,445.0
35,505.0
36,470.0
37,525.0
38,795.0
39,680.0
40,835.0
41,805.0
42,405.0
43,905.0
44,830.0
45,385.0
46,945.0
47,705.0
48,410.0
49,670.0
50,1020.0
51,1165.0
52,865.0
53,655.0
54,670.0
55,510.0
56,350.0
57,690.0
58,510.0
59,915.0
60,485.0
61,505.0
62,1100.0
63,725.0
64,505.0
65,540.0
66,485.0
67,920.0
68,390.0
69,950.0
70,345.0
71,415.0
72,570.0
73,550.0
74,560.0
75,585.0
76,840.0
77,890.0
78,345.0
79,840.0
80,490.0
81,1505.0
82,615.0
83,910.0
84,570.0
85,525.0
86,520.0
87,890.0
88,665.0
89,750.0
90,1580.0
91,815.0
92,380.0
93,535.0
94,510.0
95,480.0
96,380.0
97,470.0
98,1315.0
99,1165.0
100,900.0
