episode,reward
1,710.0
2,795.0
3,1035.0
4,750.0
5,1004.9999999999999
6,720.0
7,1110.0
8,580.0
9,575.0
10,585.0
11,565.0
12,460.0
13,1045.0
14,1150.0
15,1275.0
16,350.0
17,945.0
18,370.0
19,980.0
20,305.0
21,1045.0
22,460.0
23,1115.0
24,800.0
25,945.0
26,480.0
27,690.0
28,990.0
29,1095.0
30,520.0
31,450.0
32,805.0
33,545.0
34,855.0
35,530.0
36,765.0
37,705.0
38,570.0
39,595.0
40,415.0
41,760.0
42,460.0
43,670.0
44,870.0
45,380.0
46,780.0
47,520.0
48,430.0
49,475.0
50,1000.0
51,1330.0
52,730.0
53,660.0
54,775.0
55,640.0
56,1100.0
57,495.0
58,490.0
59,1010.0
60,750.0
61,1050.0
62,595.0
63,405.0
64,405.0
65,720.0
66,365.0
67,525.0
68,835.0
69,650.0
70,710.0
71,930.0
72,550.0
73,480.0
74,720.0
75,855.0
76,565.0
77,460.0
78,780.0
79,1000.0
80,575.0
81,780.0
82,540.0
83,1305.0
84,540.0
85,880.0
86,650.0
87,575.0
88,620.0
89,1035.0
90,705.0
91,685.0
92,1085.0
93,720.0
94,1040.0
95,745.0
96,550.0
97,1014.9999999999999
98,1115.0
99,350.0
100,325.0
